AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Target
3.33,0,6.67,23.33,0,0,3.33,10,6.67,3.33,3.33,10,0,6.67,0,6.67,0,6.67,6.67,3.33,1
14.81,7.41,0,7.41,0,14.81,0,3.7,7.41,3.7,3.7,3.7,0,0,7.41,3.7,7.41,11.11,0,3.7,1
9.52,0,4.76,4.76,0,9.52,4.76,9.52,9.52,19.05,14.29,4.76,0,0,0,0,4.76,0,0,4.76,1
16.67,8.33,16.67,0,0,0,0,0,0,25,0,0,0,8.33,8.33,0,8.33,8.33,0,0,1
16.67,5.56,0,22.22,0,5.56,0,5.56,5.56,11.11,0,0,5.56,0,0,0,16.67,5.56,0,0,1
0,0,0,7.69,7.69,15.38,0,15.38,15.38,23.08,0,0,0,0,0,7.69,0,0,7.69,0,1
0,0,0,0,6.67,0,0,0,33.33,6.67,6.67,0,0,0,20,0,13.33,6.67,6.67,0,1
11.76,0,0,0,11.76,0,5.88,5.88,11.76,5.88,0,11.76,0,0,5.88,5.88,5.88,5.88,0,11.76,1
0,0,14.29,0,7.14,14.29,0,14.29,14.29,7.14,0,0,0,0,0,7.14,0,14.29,7.14,0,1
0,8,4,0,0,4,0,0,12,8,4,8,8,0,8,8,16,8,0,4,1
15.38,0,0,7.69,0,0,0,0,30.77,15.38,0,0,0,0,0,0,0,23.08,0,7.69,1
12,4,0,4,8,4,0,4,0,16,4,8,0,0,4,12,4,12,0,4,1
0,3.33,10,0,6.67,0,0,10,10,6.67,6.67,6.67,3.33,3.33,0,0,16.67,6.67,0,10,1
10,0,0,0,15,5,0,5,10,20,0,5,5,5,5,0,5,10,0,0,1
10,5,0,5,5,5,0,0,10,10,0,0,0,0,20,0,10,5,15,0,1
3.45,0,3.45,20.69,0,3.45,0,10.34,20.69,3.45,0,3.45,0,10.34,0,3.45,3.45,0,10.34,3.45,1
