AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Target
0,0,4.55,9.09,0,4.55,4.55,9.09,9.09,4.55,0,4.55,9.09,0,0,9.09,18.18,0,4.55,9.09,1
7.69,0,0,0,15.38,0,0,0,30.77,0,0,0,0,0,0,0,7.69,30.77,0,7.69,1
0,0,0,0,0,0,6.67,13.33,6.67,33.33,0,0,0,0,20,0,0,13.33,0,6.67,1
6.67,0,6.67,0,10,13.33,3.33,16.67,6.67,3.33,6.67,3.33,0,3.33,0,10,6.67,0,3.33,0,1
8.7,0,0,4.35,0,0,0,17.39,13.04,4.35,0,17.39,0,0,0,4.35,17.39,8.7,4.35,0,1
0,0,0,0,15.38,0,0,0,30.77,30.77,0,0,7.69,0,0,0,7.69,7.69,0,0,1
15.38,0,0,0,0,0,0,0,15.38,23.08,0,0,0,0,7.69,0,0,15.38,15.38,7.69,1
12.5,4.17,4.17,4.17,0,8.33,0,0,0,4.17,0,8.33,12.5,12.5,4.17,0,0,8.33,16.67,0,1
21.05,10.53,0,10.53,0,26.32,0,0,0,26.32,0,0,0,0,0,5.26,0,0,0,0,1
3.33,6.67,6.67,6.67,3.33,6.67,3.33,3.33,0,16.67,0,3.33,13.33,3.33,10,0,3.33,6.67,3.33,0,1
16.67,0,0,4.17,0,12.5,0,0,0,4.17,0,4.17,12.5,0,16.67,8.33,8.33,8.33,4.17,0,1
17.65,0,11.76,5.88,0,5.88,0,5.88,5.88,0,5.88,5.88,11.76,0,5.88,0,5.88,5.88,5.88,0,1
0,0,5.26,0,5.26,5.26,0,0,15.79,42.11,0,15.79,0,0,0,10.53,0,0,0,0,1
7.69,0,7.69,3.85,11.54,19.23,3.85,0,3.85,7.69,0,3.85,3.85,3.85,0,7.69,0,15.38,0,0,1
0,6.67,6.67,0,0,13.33,0,6.67,6.67,3.33,0,0,3.33,6.67,3.33,10,13.33,13.33,3.33,3.33,1
13.04,0,4.35,4.35,8.7,0,0,8.7,4.35,0,8.7,0,4.35,0,13.04,4.35,21.74,4.35,0,0,1
3.33,16.67,3.33,3.33,3.33,10,0,10,0,3.33,6.67,0,6.67,0,0,6.67,10,6.67,10,0,1
0,16.67,6.67,0,6.67,0,0,6.67,3.33,3.33,0,6.67,23.33,3.33,3.33,3.33,13.33,3.33,0,0,1
14.29,7.14,0,7.14,14.29,0,0,7.14,14.29,14.29,0,0,7.14,0,7.14,0,7.14,0,0,0,1
3.33,10,10,10,0,13.33,3.33,3.33,0,3.33,0,0,10,0,0,3.33,6.67,16.67,3.33,3.33,1
12.5,0,4.17,0,4.17,8.33,4.17,0,4.17,25,0,8.33,4.17,4.17,4.17,4.17,4.17,4.17,0,4.17,1
0,4.76,9.52,0,0,9.52,0,9.52,9.52,4.76,0,4.76,9.52,0,9.52,4.76,9.52,4.76,9.52,0,1
7.69,0,0,0,7.69,23.08,0,7.69,7.69,7.69,0,7.69,7.69,0,0,7.69,0,0,15.38,0,1
0,0,12.5,6.25,0,6.25,6.25,0,6.25,6.25,12.5,12.5,6.25,0,0,0,12.5,12.5,0,0,1
3.7,7.41,0,0,22.22,3.7,0,3.7,22.22,7.41,0,7.41,0,3.7,3.7,3.7,7.41,3.7,0,0,1
15,0,5,0,0,5,0,0,10,5,5,0,0,0,15,0,5,5,30,0,1
4,4,0,4,4,24,0,8,0,12,0,0,0,4,0,8,24,4,0,0,1
5,0,10,0,5,0,0,0,5,15,5,10,10,10,0,5,5,10,0,5,1
5.56,11.11,5.56,0,5.56,5.56,11.11,5.56,11.11,0,16.67,0,0,0,5.56,0,5.56,5.56,0,5.56,1
15,5,5,0,0,10,0,10,5,10,10,5,0,0,10,0,5,5,0,5,1
0,4.76,0,0,0,0,9.52,9.52,9.52,0,0,4.76,4.76,4.76,28.57,0,0,19.05,0,4.76,1
3.57,3.57,3.57,3.57,3.57,7.14,0,0,25,7.14,7.14,0,7.14,3.57,0,3.57,17.86,0,0,3.57,1
6.67,6.67,20,6.67,0,0,0,6.67,0,13.33,6.67,0,6.67,0,0,20,6.67,0,0,0,1
0,3.57,0,0,7.14,3.57,14.29,3.57,3.57,3.57,10.71,3.57,10.71,7.14,3.57,0,10.71,7.14,3.57,3.57,1
5,5,5,5,20,5,0,5,5,10,0,0,20,0,0,5,5,5,0,0,1
3.57,0,10.71,0,0,10.71,3.57,7.14,7.14,3.57,3.57,10.71,10.71,3.57,14.29,0,0,3.57,3.57,3.57,1
10,0,20,5,0,5,0,0,0,15,5,0,5,5,5,5,0,20,0,0,1
4,0,4,0,4,8,0,0,8,32,4,0,4,4,12,0,4,4,4,4,1
3.57,3.57,10.71,0,7.14,0,3.57,0,3.57,0,14.29,3.57,7.14,7.14,17.86,0,7.14,3.57,0,7.14,1
20,6.67,0,0,6.67,13.33,0,0,0,33.33,6.67,6.67,0,6.67,0,0,0,0,0,0,1
26.67,0,20,0,6.67,0,0,0,0,13.33,6.67,6.67,0,0,6.67,0,0,13.33,0,0,1
0,3.57,0,0,14.29,0,7.14,3.57,17.86,0,14.29,7.14,3.57,0,17.86,0,0,7.14,0,3.57,1
4.76,0,0,0,23.81,4.76,0,4.76,9.52,4.76,0,0,0,0,28.57,4.76,4.76,9.52,0,0,1
8,0,0,4,0,12,12,0,4,28,0,0,8,0,0,4,0,20,0,0,1
5.56,5.56,11.11,0,5.56,0,0,5.56,5.56,16.67,0,0,0,0,5.56,11.11,0,11.11,16.67,0,1
7.69,0,0,0,15.38,0,0,0,30.77,15.38,0,0,7.69,0,0,0,7.69,15.38,0,0,1
0,5.56,16.67,5.56,5.56,0,0,0,5.56,22.22,0,0,0,0,5.56,11.11,0,5.56,16.67,0,1
6.67,3.33,13.33,0,0,6.67,3.33,0,3.33,3.33,13.33,3.33,20,0,3.33,0,6.67,6.67,3.33,3.33,1
12.5,0,6.25,18.75,6.25,0,6.25,6.25,0,6.25,6.25,0,0,12.5,0,12.5,0,6.25,0,0,1
8.33,4.17,0,0,4.17,8.33,8.33,4.17,0,0,4.17,0,4.17,0,12.5,4.17,12.5,16.67,4.17,4.17,1
3.33,16.67,3.33,0,6.67,10,0,3.33,3.33,3.33,3.33,6.67,10,3.33,6.67,3.33,13.33,3.33,0,0,1
0,0,15,5,0,5,0,10,0,10,0,5,5,0,10,10,10,5,10,0,1
6.9,3.45,3.45,0,6.9,10.34,3.45,6.9,24.14,6.9,3.45,3.45,0,3.45,0,3.45,3.45,6.9,3.45,0,1
6.67,13.33,0,0,6.67,10,0,6.67,6.67,10,0,6.67,0,3.33,13.33,0,10,6.67,0,0,1
