PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2,Target
0,0,4.55,9.09,0,4.55,4.55,9.09,9.09,4.55,0,4.55,9.09,0,0,9.09,18.18,0,4.55,9.09,0.074,0.0774,1
7.69,0,0,0,15.38,0,0,0,30.77,0,0,0,0,0,0,0,7.69,30.77,0,7.69,0.0325,0.0684,1
0,0,0,0,0,0,6.67,13.33,6.67,33.33,0,0,0,0,20,0,0,13.33,0,6.67,0.1025,0.1198,1
6.67,0,6.67,0,10,13.33,3.33,16.67,6.67,3.33,6.67,3.33,0,3.33,0,10,6.67,0,3.33,0,0.099,0.0599,1
8.7,0,0,4.35,0,0,0,17.39,13.04,4.35,0,17.39,0,0,0,4.35,17.39,8.7,4.35,0,0.0773,0.0782,1
0,0,0,0,15.38,0,0,0,30.77,30.77,0,0,7.69,0,0,0,7.69,7.69,0,0,0.0268,0.0551,1
15.38,0,0,0,0,0,0,0,15.38,23.08,0,0,0,0,7.69,0,0,15.38,15.38,7.69,0.1302,0.0966,1
12.5,4.17,4.17,4.17,0,8.33,0,0,0,4.17,0,8.33,12.5,12.5,4.17,0,0,8.33,16.67,0,0.1219,0.0814,1
21.05,10.53,0,10.53,0,26.32,0,0,0,26.32,0,0,0,0,0,5.26,0,0,0,0,0.0544,0.0514,1
3.33,6.67,6.67,6.67,3.33,6.67,3.33,3.33,0,16.67,0,3.33,13.33,3.33,10,0,3.33,6.67,3.33,0,0.1002,0.0816,1
16.67,0,0,4.17,0,12.5,0,0,0,4.17,0,4.17,12.5,0,16.67,8.33,8.33,8.33,4.17,0,0.0941,0.1103,1
17.65,0,11.76,5.88,0,5.88,0,5.88,5.88,0,5.88,5.88,11.76,0,5.88,0,5.88,5.88,5.88,0,0.1086,0.0881,1
0,0,5.26,0,5.26,5.26,0,0,15.79,42.11,0,15.79,0,0,0,10.53,0,0,0,0,0.073,0.0997,1
7.69,0,7.69,3.85,11.54,19.23,3.85,0,3.85,7.69,0,3.85,3.85,3.85,0,7.69,0,15.38,0,0,0.0708,0.071,1
0,6.67,6.67,0,0,13.33,0,6.67,6.67,3.33,0,0,3.33,6.67,3.33,10,13.33,13.33,3.33,3.33,0.0887,0.0601,1
13.04,0,4.35,4.35,8.7,0,0,8.7,4.35,0,8.7,0,4.35,0,13.04,4.35,21.74,4.35,0,0,0.0679,0.0824,1
3.33,16.67,3.33,3.33,3.33,10,0,10,0,3.33,6.67,0,6.67,0,0,6.67,10,6.67,10,0,0.0523,0.0551,1
0,16.67,6.67,0,6.67,0,0,6.67,3.33,3.33,0,6.67,23.33,3.33,3.33,3.33,13.33,3.33,0,0,0.0559,0.043,1
14.29,7.14,0,7.14,14.29,0,0,7.14,14.29,14.29,0,0,7.14,0,7.14,0,7.14,0,0,0,0.099,0.127,1
3.33,10,10,10,0,13.33,3.33,3.33,0,3.33,0,0,10,0,0,3.33,6.67,16.67,3.33,3.33,0.0614,0.0794,1
12.5,0,4.17,0,4.17,8.33,4.17,0,4.17,25,0,8.33,4.17,4.17,4.17,4.17,4.17,4.17,0,4.17,0.0779,0.074,1
0,4.76,9.52,0,0,9.52,0,9.52,9.52,4.76,0,4.76,9.52,0,9.52,4.76,9.52,4.76,9.52,0,0.0743,0.1073,1
7.69,0,0,0,7.69,23.08,0,7.69,7.69,7.69,0,7.69,7.69,0,0,7.69,0,0,15.38,0,0.06,0.101,1
0,0,12.5,6.25,0,6.25,6.25,0,6.25,6.25,12.5,12.5,6.25,0,0,0,12.5,12.5,0,0,0.0599,0.0539,1
3.7,7.41,0,0,22.22,3.7,0,3.7,22.22,7.41,0,7.41,0,3.7,3.7,3.7,7.41,3.7,0,0,0.0994,0.1307,1
15,0,5,0,0,5,0,0,10,5,5,0,0,0,15,0,5,5,30,0,0.1664,0.1593,1
4,4,0,4,4,24,0,8,0,12,0,0,0,4,0,8,24,4,0,0,0.0266,0.0415,1
5,0,10,0,5,0,0,0,5,15,5,10,10,10,0,5,5,10,0,5,0.0635,0.0469,1
5.56,11.11,5.56,0,5.56,5.56,11.11,5.56,11.11,0,16.67,0,0,0,5.56,0,5.56,5.56,0,5.56,0.0842,0.0623,1
15,5,5,0,0,10,0,10,5,10,10,5,0,0,10,0,5,5,0,5,0.1059,0.097,1
0,4.76,0,0,0,0,9.52,9.52,9.52,0,0,4.76,4.76,4.76,28.57,0,0,19.05,0,4.76,0.0896,0.1289,1
3.57,3.57,3.57,3.57,3.57,7.14,0,0,25,7.14,7.14,0,7.14,3.57,0,3.57,17.86,0,0,3.57,0.0777,0.0866,1
6.67,6.67,20,6.67,0,0,0,6.67,0,13.33,6.67,0,6.67,0,0,20,6.67,0,0,0,0.0473,0.0391,1
