PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2,Target
3.33,0,6.67,23.33,0,0,3.33,10,6.67,3.33,3.33,10,0,6.67,0,6.67,0,6.67,6.67,3.33,0.0665,0.0799,1
14.81,7.41,0,7.41,0,14.81,0,3.7,7.41,3.7,3.7,3.7,0,0,7.41,3.7,7.41,11.11,0,3.7,0.0705,0.0575,1
9.52,0,4.76,4.76,0,9.52,4.76,9.52,9.52,19.05,14.29,4.76,0,0,0,0,4.76,0,0,4.76,0.0706,0.0876,1
16.67,8.33,16.67,0,0,0,0,0,0,25,0,0,0,8.33,8.33,0,8.33,8.33,0,0,0.0867,0.0715,1
16.67,5.56,0,22.22,0,5.56,0,5.56,5.56,11.11,0,0,5.56,0,0,0,16.67,5.56,0,0,0.0656,0.0791,1
0,0,0,7.69,7.69,15.38,0,15.38,15.38,23.08,0,0,0,0,0,7.69,0,0,7.69,0,0.1021,0.1461,1
0,0,0,0,6.67,0,0,0,33.33,6.67,6.67,0,0,0,20,0,13.33,6.67,6.67,0,0.0538,0.097,1
11.76,0,0,0,11.76,0,5.88,5.88,11.76,5.88,0,11.76,0,0,5.88,5.88,5.88,5.88,0,11.76,0.0987,0.0602,1
0,0,14.29,0,7.14,14.29,0,14.29,14.29,7.14,0,0,0,0,0,7.14,0,14.29,7.14,0,0.0903,0.1347,1
0,8,4,0,0,4,0,0,12,8,4,8,8,0,8,8,16,8,0,4,0.0796,0.0794,1
15.38,0,0,7.69,0,0,0,0,30.77,15.38,0,0,0,0,0,0,0,23.08,0,7.69,0.0504,0.0848,1
12,4,0,4,8,4,0,4,0,16,4,8,0,0,4,12,4,12,0,4,0.0566,0.0799,1
0,3.33,10,0,6.67,0,0,10,10,6.67,6.67,6.67,3.33,3.33,0,0,16.67,6.67,0,10,0.0631,0.0653,1
10,0,0,0,15,5,0,5,10,20,0,5,5,5,5,0,5,10,0,0,0.104,0.0696,1
10,5,0,5,5,5,0,0,10,10,0,0,0,0,20,0,10,5,15,0,0.1113,0.1679,1
3.45,0,3.45,20.69,0,3.45,0,10.34,20.69,3.45,0,3.45,0,10.34,0,3.45,3.45,0,10.34,3.45,0.0997,0.1094,1
0,5.88,11.76,5.88,5.88,0,0,11.76,0,17.65,5.88,5.88,5.88,0,0,17.65,0,0,0,5.88,0.0606,0.0555,1
16.67,5.56,0,16.67,0,5.56,0,5.56,5.56,5.56,0,0,5.56,0,5.56,5.56,11.11,0,11.11,0,0.1086,0.0894,1
0,12.5,6.25,0,6.25,6.25,12.5,6.25,0,6.25,6.25,6.25,6.25,0,0,6.25,12.5,6.25,0,0,0.0495,0.0381,1
0,0,0,0,0,16.67,0,0,0,33.33,0,0,25,8.33,8.33,8.33,0,0,0,0,0.0678,0.0696,1
15.38,0,0,7.69,7.69,0,0,7.69,7.69,23.08,7.69,7.69,0,0,0,0,0,7.69,7.69,0,0.0988,0.062,1
3.57,3.57,3.57,0,0,7.14,17.86,7.14,0,0,0,3.57,3.57,0,21.43,3.57,7.14,14.29,3.57,0,0.0587,0.0916,1
0,5,20,10,5,0,0,0,5,15,0,5,5,0,10,10,5,5,0,0,0.084,0.1116,1
5.26,10.53,10.53,5.26,5.26,0,0,0,0,5.26,5.26,10.53,5.26,0,10.53,15.79,0,10.53,0,0,0.0562,0.0722,1
27.78,11.11,0,5.56,5.56,11.11,5.56,5.56,0,5.56,5.56,0,5.56,0,0,0,5.56,0,0,5.56,0.0491,0.0465,1
10,13.33,0,3.33,0,3.33,3.33,3.33,6.67,0,6.67,0,3.33,6.67,3.33,6.67,10,20,0,0,0.0641,0.047,1
3.85,0,11.54,3.85,0,0,0,3.85,7.69,3.85,3.85,3.85,15.38,3.85,3.85,3.85,7.69,11.54,0,11.54,0.068,0.0595,1
20,10,10,3.33,6.67,6.67,0,0,0,6.67,3.33,3.33,6.67,0,3.33,10,0,3.33,3.33,3.33,0.0708,0.0982,1
0,0,0,5,0,15,5,5,10,0,5,10,0,0,5,10,5,20,0,5,0.0768,0.0678,1
0,4,4,0,12,0,4,0,20,4,0,8,12,0,12,8,8,0,0,4,0.0686,0.0776,1
10.53,0,0,0,10.53,15.79,0,5.26,10.53,5.26,0,0,0,5.26,5.26,21.05,5.26,5.26,0,0,0.0647,0.0823,1
8,0,0,4,0,8,12,4,4,24,0,0,8,0,0,8,0,20,0,0,0.0462,0.0667,1
0,0,4.17,25,0,0,0,12.5,25,4.17,4.17,0,0,0,0,4.17,8.33,0,8.33,4.17,0.0997,0.1249,1
0,0,9.09,13.64,0,4.55,0,0,9.09,9.09,9.09,4.55,4.55,0,9.09,4.55,4.55,4.55,9.09,4.55,0.0858,0.1333,1
3.57,3.57,0,0,0,7.14,0,7.14,0,10.71,14.29,0,17.86,0,17.86,0,3.57,7.14,0,7.14,0.052,0.0518,1
0,0,0,0,0,10,5,5,5,5,5,0,25,0,30,0,5,0,5,0,0.136,0.105,1
0,0,0,0,0,0,11.11,11.11,7.41,7.41,11.11,3.7,7.41,0,11.11,3.7,3.7,14.81,0,7.41,0.0931,0.0684,1
3.7,11.11,3.7,0,3.7,3.7,3.7,0,7.41,3.7,7.41,7.41,18.52,0,0,3.7,7.41,3.7,11.11,0,0.0595,0.0694,1
3.7,0,0,7.41,7.41,3.7,3.7,7.41,3.7,18.52,3.7,0,0,3.7,37.04,0,0,0,0,0,0.0852,0.0979,1
5.56,5.56,11.11,5.56,0,0,0,11.11,0,11.11,11.11,0,5.56,0,5.56,16.67,5.56,5.56,0,0,0.067,0.0618,1
7.69,0,3.85,3.85,3.85,7.69,0,3.85,11.54,7.69,0,11.54,0,11.54,7.69,7.69,3.85,3.85,3.85,0,0.0992,0.1029,1
23.08,0,7.69,7.69,0,0,0,0,15.38,7.69,0,0,15.38,0,0,0,0,15.38,0,7.69,0.0861,0.087,1
6.25,0,0,6.25,0,0,6.25,0,0,18.75,0,12.5,0,0,18.75,6.25,6.25,6.25,12.5,0,0.0772,0.1042,1
8.7,4.35,4.35,4.35,4.35,0,13.04,0,4.35,4.35,4.35,0,4.35,0,13.04,4.35,17.39,8.7,0,0,0.0584,0.0706,1
